isotope,distance_cm,counts_free,mean_cps_free_model,counts_Al,mean_cps_Al_model,counts_Cu,mean_cps_Cu_model,counts_Pb,mean_cps_Pb_model
Co60,10.0,9912,328.26484945402086,8924,298.26003612992935,8100,273.0985280772114,5425,179.31837972067166
Co60,10.0,9263,305.663056398215,9701,315.8772957732115,8005,269.3547768808929,5552,184.28492157973676
Co60,10.0,9348,308.80523088147845,9279,305.9482587582762,7950,263.95903807798936,5582,185.45847042744128
Co60,10.0,9684,325.7039919283889,9499,315.6436023632136,7969,264.8255139361328,5362,177.34217877331824
Co60,10.0,9922,335.09930732668795,9279,307.1687525840135,7837,266.1578388035392,5420,183.08297166610458
Co60,10.0,9243,314.15650209440594,8858,301.2960969459383,8245,270.73611636869816,5299,176.4261277208723
Co60,10.0,9948,331.0490209322597,9033,301.42136629199257,8099,273.160338403704,5463,184.45924740318515
Co60,10.0,9646,318.99896544786174,9169,304.09976029157974,7835,260.8305647593988,5480,182.527569392112
Co60,10.0,9523,321.7284420484103,9364,309.3104609832708,7748,263.1187061717908,5337,177.532041778511
Co60,10.0,9330,310.06970054443514,8955,293.1579767244753,8057,269.60104738232684,5603,183.59831724090262
Co60,10.0,9253,313.98718591721257,9517,320.7093340498766,8113,269.2003117244524,5426,184.0402180739671
Co60,10.0,9623,319.77475737129373,9472,319.1825791638811,7797,261.03373373119524,5436,182.58262197357553
Co60,10.0,9386,311.5459814556312,9356,310.75620577647436,7836,267.39545411856955,5650,191.4232855422579
Co60,10.0,9489,314.4793760281315,9378,309.36869044355507,8289,276.08268612667166,5209,176.7756175670183
Co60,10.0,9194,307.6980917142612,9405,310.04942308547567,8011,264.6834506923602,5147,171.33056328165935
Co60,10.0,9455,319.8622113574431,9500,317.09340761809256,7958,268.7858505355766,5437,179.49104563743114
Co60,10.0,9219,307.6528897136178,9073,297.8827996829555,7969,263.9920383323691,5620,189.20409297154467
Co60,10.0,10229,339.41577391938955,9239,306.71209393697126,7971,269.2288683034046,5414,180.37636726804254
Co60,10.0,9322,316.71210603819105,9368,313.6363946381515,8381,277.956531917585,5347,180.85150978208438
Co60,10.0,9850,330.67133739196703,9384,318.31692256473906,8325,276.429978730766,5343,180.3597427316549
Co60,10.0,10000,331.95374727664154,9599,316.8913761698591,8103,269.41567770544214,5637,185.4072666031709
Co60,10.0,9680,316.715425434114,9105,304.6665504381316,8724,284.3490455953584,5261,178.654504944092
Co60,10.0,9620,322.76666028028194,9697,319.164803239032,8102,267.741458998021,5649,185.4761216609537
Co60,10.0,9675,325.9659314180067,9425,322.29877471427045,8252,271.9753538765082,5427,180.87876785524517
Co60,10.0,9709,322.7794971133907,9749,326.9308399732388,8274,274.61703864383344,5494,185.96137924908706
Co60,10.0,9636,318.1187906844258,9152,304.5674616701376,7765,260.05692630856197,5600,186.2736871093432
Co60,10.0,9633,312.93591518225986,9482,317.69778895581254,8218,274.3857749444055,5571,182.249815792509
Co60,10.0,9272,307.2347084036027,8930,296.5928306453293,7983,264.86759549763053,5918,196.67797891180174
Co60,10.0,10209,338.5535321897276,9610,322.60445126032226,7703,262.87811163184676,5588,184.06849587397875
Co60,10.0,9607,320.7956619766266,9699,324.9624759173738,8076,268.37220765578263,5535,183.48579823257617
Co60,10.0,9793,330.9893032597282,9623,317.1179915208008,8398,283.06709051947144,5714,191.68180519570086
Co60,10.0,9580,321.26797622220084,8827,296.5259827626638,8174,272.82624284012326,5350,181.462858594748
Co60,10.0,9575,319.7523658545443,9907,327.54439990006836,7914,261.532173159001,5752,185.5706935037005
Co60,10.0,9503,319.0986133116805,9459,310.23419765575403,8261,275.8140048918996,5262,180.1314157025791
Co60,10.0,8904,298.18183765754355,9786,319.76322082539644,7655,257.31806735177867,5374,181.48081686784568
Co60,10.0,9756,324.19786984190176,9215,311.70625354349613,8010,263.50263264629336,5408,180.09659608975778
Co60,10.0,9529,323.8593485029752,9555,318.09048234312223,7934,260.98125652309693,5084,169.70460363582407
Co60,10.0,9570,325.5723883490468,9998,330.043294475811,7826,264.16465220579875,5462,180.15104164669097
Co60,10.0,9821,322.90771345804427,9217,309.8077360220741,8277,275.5863670880425,5402,183.70194907652808
Co60,10.0,9394,316.1627816341501,9600,322.07951425012016,8576,282.9827686543719,5807,189.40170088713037
Co60,10.0,9822,324.3625953556502,9255,304.60393886128793,7904,266.48913773548503,5496,182.09812578385558
Co60,10.0,9987,338.56272427318834,9172,302.66631212574333,8087,268.39491025704496,5692,186.31193105542224
Co60,10.0,9986,330.6864744640828,9868,334.70450684655844,8238,271.5181779030022,5525,182.63097766199652
Co60,10.0,9944,331.85403560605874,9328,310.984146903018,7902,261.5253249948381,5336,181.6003254140253
Co60,10.0,9481,316.4741766586056,9160,303.9376677497442,8286,276.4468842349007,5487,181.96043286657857
Co60,10.0,9334,309.3886418795618,9569,322.4232230465817,8141,273.3722303899581,5495,181.7473683033356
Co60,10.0,9373,310.99701807854984,9307,306.0810707597775,8146,273.7309823768526,5724,189.54766333329053
Co60,10.0,9553,318.80629628255684,9117,303.48107534233606,8014,264.99106924372256,5460,183.63945192119115
Co60,10.0,9815,324.6179521835847,9358,309.7447198144278,8067,264.9863240520505,5687,188.0628143245546
Co60,10.0,9482,317.98880615865335,9211,308.95828377330696,8415,276.0883142165702,5643,192.50569215916175
Co60,10.0,9426,320.63046946801865,9694,322.1971912205526,8411,276.27423518794967,5600,186.55176953216636
Co60,10.0,9506,314.1133188518532,9016,295.9811329247392,8455,281.03303266960603,5656,190.5578431773906
Co60,10.0,9530,317.7854376068305,9357,304.63118470944033,8114,269.3155040376758,5716,192.4290857511599
Co60,10.0,9315,314.49407818185244,9346,311.6940298121838,7651,257.7500060264223,5569,187.82652273985917
Co60,10.0,9610,317.21711830655124,9166,305.42918530654765,7887,267.7936640800016,5516,187.3898140648309
Co60,10.0,9889,329.68406424738737,9301,312.20519456730614,7804,255.52090509157787,5311,176.28711335735136
Co60,10.0,9398,315.65245053484904,9428,313.3044809246157,7998,266.9839652696937,5291,179.69816567498495
Co60,10.0,9396,318.8186872961693,9581,312.6917578323281,7849,260.84485941782395,5761,191.03049652751986
Co60,10.0,9924,328.5782297052192,9585,314.53385967985463,7760,260.44652206438565,5555,184.61949774768186
Co60,10.0,9598,321.43870752797665,9132,303.01548833243675,7970,264.16268669978774,5741,192.82416914370347
Co60,10.0,10080,332.532187700579,9457,309.8279465126865,8214,274.9169252002421,5309,175.4778651519053
Co60,10.0,9286,310.18130212806324,9390,308.4195316271772,8321,278.7774127543287,5709,190.9554346355383
Co60,10.0,9822,328.6836646978772,9840,326.1718945306576,7965,265.4503720676844,5496,184.01396474779511
Co60,10.0,9466,319.204733367152,9339,308.7769908047662,8070,273.1797038505239,5438,182.63058923370906
Co60,10.0,10181,330.5581217382798,9426,315.25676337577954,7815,260.07155238541577,5603,184.78875180932582
Co60,10.0,9044,303.7904803926254,9018,307.26436915083104,7646,254.20504275720097,5621,187.7667348481281
Co60,10.0,8950,297.22741229528305,9319,309.51293704824906,7959,265.51408027013235,5626,183.5635704091185
Co60,10.0,9765,329.77207692445415,9258,312.8768794852428,8401,273.6327590448926,5460,182.26568027597457
Co60,10.0,9929,330.13445225694954,9285,311.568255170742,7939,264.5403993753803,5742,190.85085146018807
Co60,10.0,9690,319.5059539944534,9456,314.5201048173834,8133,267.5157494401891,5587,183.34045603290127
Co60,10.0,9796,325.34201050052775,8639,286.2590569900901,7844,263.21664725372557,5655,186.08884336054692
Co60,10.0,9797,328.5781254083848,9565,316.51340563176103,7995,264.19813573682717,5621,186.21126852654606
Co60,10.0,9535,323.1630338678743,9470,321.393602488365,7879,263.9464318430943,5366,183.37370597446505
Co60,10.0,8921,302.95746799741596,9506,313.88706390953473,7637,256.9818264805881,5390,180.3305535171591
Co60,10.0,9446,317.6193664282045,8795,294.46354668457286,7414,246.43497462025323,5413,184.99011598581302
Co60,10.0,9922,327.26410336973584,9119,303.4896878872477,8096,271.92103437542056,5400,181.57970629336768
Co60,10.0,9532,315.2832044185887,9172,313.3532059042522,8097,266.54053382996585,5488,184.84904121827546
Co60,10.0,9383,314.0769515983227,9391,309.35768418811256,8112,270.95105993611406,5525,185.03806345870206
Co60,10.0,9670,322.3882611445967,9244,306.9132035575041,8494,276.201031100129,5660,190.170026066057
Co60,10.0,9537,325.5419403479402,9921,322.5651882635112,7666,258.2046531320133,5156,172.78203391090528
Co60,10.0,9579,315.92076431879286,9653,324.74291410506754,8222,276.75165440137874,5534,183.71215308864117
Co60,10.0,9772,323.38768573487766,9163,304.11602064436147,7995,262.2624456067315,5588,187.2276250393174
Co60,10.0,9542,320.3682725785615,9052,303.23877459438705,8017,267.2822356316571,5382,179.19036911964605
Co60,10.0,9646,319.82665658239046,9373,309.71542319092663,8048,272.26508678501943,5587,184.18167086131595
Co60,10.0,9587,316.8136336015308,9167,306.9934229476708,8211,270.220520198635,5642,184.33560423996707
Co60,10.0,9511,317.9911797082868,9562,325.070522971797,8114,268.2185256120009,5432,175.99642247200507
Co60,10.0,9873,320.1879783946637,9384,314.0395606242273,8017,266.1872048655366,5492,182.52113735243248
Co60,10.0,9703,324.48399573647106,9589,322.0068308121672,8010,267.2417503090668,5637,186.38078073074536
Co60,10.0,9382,312.4837138853298,9910,330.3240111401717,8115,267.57027361636574,5479,182.32556270859445
Co60,10.0,9331,307.1843856279487,9544,309.6824703638886,7696,257.0523068735947,5455,186.36017635862268
Co60,10.0,9792,323.8329848557374,9359,312.1862378546271,8275,274.3661788314856,5345,177.7189018769249
Co60,10.0,9691,317.1824777252916,9398,312.0122850200348,8330,275.58056526581845,5441,181.859668103463
Co60,10.0,10029,338.8974961024987,9267,309.85441051792867,7897,264.1391890699831,5846,190.589296218442
Co60,20.0,2771,90.8002851094386,2866,95.21121789352863,2351,79.98568078634398,1793,61.92058301906027
Co60,20.0,2943,94.08416829591475,2826,94.50775578526387,2525,85.26747262714899,1897,61.14970111869878
Co60,20.0,2884,94.57447912075168,2850,95.02316474902887,2373,79.90870275808635,1804,61.468776027308095
Co60,20.0,2726,89.14051882258894,2777,93.44034721005998,2447,83.51770335068439,1879,62.488822124295794
Co60,20.0,2746,93.86559538023275,2788,92.82607721450914,2366,80.21710309970695,1754,59.68501871307197
Co60,20.0,2883,96.49920312704573,2793,94.01776226598112,2423,81.3802123164314,1881,61.58990653772999
Co60,20.0,2872,98.91252424354457,2888,95.14845806959651,2607,83.02877846639885,1852,62.746137616349294
Co60,20.0,2964,97.36688213987658,2727,90.8187319753112,2555,83.38046070499905,1851,60.79582792939155
Co60,20.0,2902,95.51765920818065,2787,94.09474957512872,2496,81.20486592896063,1819,59.667384768761934
Co60,20.0,2831,94.98740895763466,2882,94.4692601524572,2507,81.69849097214787,1820,60.93316392335991
Co60,20.0,2917,97.00336211791952,2710,94.26440193889422,2454,83.55246042563242,1853,61.53934213414405
Co60,20.0,2784,93.9226157239811,2760,91.11502458924492,2516,83.52396522848987,1846,59.340279289151
Co60,20.0,2832,94.16912643669603,2769,93.3186638061909,2416,79.4045623732769,1790,62.39059363653816
Co60,20.0,2843,93.79444670813233,2569,89.26527244582194,2501,82.54627357798728,1808,61.63878975901428
Co60,20.0,2787,94.06970338747264,2797,93.57467358449992,2399,82.30869765579143,1833,60.08784329490402
Co60,20.0,2710,90.84607730996429,2680,90.96886547283631,2438,80.52594904628535,1806,59.7857683102239
Co60,20.0,2828,93.76996980967866,2795,92.40966080651943,2544,83.76267281094613,1765,59.608179922085725
Co60,20.0,3036,97.28973830039789,2846,93.5992355612318,2519,82.9770465389741,1771,59.38886929852142
Co60,20.0,2739,91.55500811924962,2809,94.1309124157876,2420,83.30181017838764,1863,59.76643871551797
Co60,20.0,2856,94.017280466214,2698,89.48599650016014,2426,79.83424998029383,1815,61.87005754676767
Co60,20.0,2761,93.2365272524306,2641,91.49224249606529,2531,83.52113186612074,1928,62.85153878702602
Co60,20.0,2804,95.1708993528112,2878,94.63120067815089,2406,80.82207332529434,1842,61.067964458394776
Co60,20.0,2875,93.2315314265713,2746,89.97994395016,2422,79.7477077752014,1849,61.874008902113644
Co60,20.0,2804,93.7634964442057,2815,94.88723986866349,2557,82.22161084110502,1840,60.17247128889927
Co60,20.0,2706,92.17285948787168,2745,94.78565532209501,2562,83.72341086857703,1782,61.43975685248262
Co60,20.0,2779,92.55841131524495,2714,91.19685963422639,2466,83.1472998072366,1952,61.69476172555511
Co60,20.0,2776,95.19325926415999,2652,88.14404755264582,2514,82.93369569156908,1871,60.635435064678624
Co60,20.0,2927,99.62722302086647,2662,90.52782065317834,2389,81.46805115602533,1848,60.658127754285694
Co60,20.0,2677,92.19713590299564,2735,93.12493649760086,2355,80.92236564043407,1786,59.47251235976663
Co60,20.0,2774,91.90036062330297,2740,91.76768977479725,2603,85.74133620983334,1845,61.50075083437423
Co60,20.0,2877,95.73759763889693,2867,95.02890297288756,2445,80.57546096341301,1802,60.519052181627806
Co60,20.0,2840,95.08603548866006,2743,89.83200706459658,2633,87.14158252039721,1758,59.652847493495656
Co60,20.0,2928,95.6314319101028,2967,96.85624594812697,2522,84.29502424668723,1859,60.25129427087715
Co60,20.0,2779,93.19991323010531,2867,92.8654955464451,2666,83.83183158679643,1766,58.256168632181286
Co60,20.0,2921,97.70017765196044,2767,91.9272885908327,2414,81.06096108436019,1771,59.55722734875136
Co60,20.0,2944,97.01839894299606,2827,95.79677633493893,2504,81.87118173781637,1836,61.01325132473495
Co60,20.0,2928,96.0288809103843,2937,96.19307597657053,2508,83.012652470494,1753,59.96158894211261
Co60,20.0,2955,95.66729497656671,2835,94.01906211858295,2497,82.60344916729574,1862,62.17968955900127
Co60,20.0,2764,93.09282366060707,2701,91.57645806775201,2418,82.27661781876449,1889,62.13165355334624
Co60,20.0,2935,96.14928219918708,2888,95.26173759457161,2451,82.56834860458557,1808,61.702128846501935
Co60,20.0,2843,96.04221415722303,2753,90.01040176372564,2348,80.94628366912781,1836,61.737540890772046
Co60,20.0,2846,95.7867126064243,2761,89.57748807539653,2448,82.87314702929291,1761,61.41035033507635
Co60,20.0,2858,96.70277452997071,2817,94.34601478082008,2509,82.17404841935577,1802,60.8557598107638
Co60,20.0,2935,96.39965747818862,2937,95.91517146194815,2644,86.00521299984015,1878,62.28109288172327
Co60,20.0,2859,94.2093179696441,2848,96.42871526927848,2536,82.93400872314271,1764,58.43690365128194
Co60,20.0,3010,99.39685422593814,2865,91.89696774840482,2607,85.91243331893499,1802,61.02582474035464
Co60,20.0,2877,97.76946765459816,2894,96.69503814927928,2464,81.62160758795059,1891,61.442570756086184
Co60,20.0,2851,95.0979080044478,2765,94.22702612351218,2501,82.9688810369253,1805,60.769646589001596
Co60,20.0,2756,94.83361797738112,2832,92.01542627959117,2466,80.13611406798796,1812,61.78760898771842
Co60,20.0,2991,97.01454971921585,2810,91.62138035169939,2356,81.28305889350692,1745,60.77949740256732
Co60,20.0,2801,94.60225813298949,2632,89.61293431487749,2431,82.13211185252015,1826,61.61129580034884
Co60,20.0,2778,93.90379342731141,2794,92.23386667957261,2441,83.35862381344768,1864,60.33529054593062
Co60,20.0,2817,94.92926186665674,2785,91.14644679350042,2417,82.59074867976082,1900,64.33542707821336
Co60,20.0,2814,94.81865056408229,2626,91.18011486965025,2575,85.49462374408867,1855,60.62594305307783
Co60,20.0,2953,95.88604392098658,2613,88.78275286758934,2462,82.14959046878286,1876,63.11841422253675
Co60,20.0,2728,91.16628892963989,2660,90.97991444235382,2573,85.8032812900064,1854,63.02224402237254
Co60,20.0,2883,98.32310245876613,2661,90.44702399264231,2486,81.1122911948776,1819,60.35781165751505
Co60,20.0,2911,97.74040809268752,2765,91.88065195922154,2463,81.25544968852617,1811,61.61675384501484
Co60,20.0,2842,93.11318195349374,2772,91.0626689771664,2274,78.35008836333557,1883,60.30182373415152
Co60,20.0,2744,92.89286065672341,2741,91.54209332888264,2432,81.11417744732383,1883,61.584523347750704
Co60,20.0,2799,94.13370092364606,2833,93.84342217075059,2383,83.19660460317762,1982,65.85305520599363
Co60,20.0,2788,94.35324308134919,2845,93.63391332721062,2330,79.41424587859049,1900,61.944968176628436
Co60,20.0,2859,93.7954960542135,2841,93.78968631510794,2362,81.91959952716299,1901,61.844148918013865
Co60,20.0,2778,93.38262712788035,2941,94.6362881393188,2529,85.19446660454234,1898,62.23400883200541
Co60,20.0,2884,96.97110528319205,2878,96.22997620775058,2621,84.108471017988,1798,60.44718962404207
Co60,20.0,2864,95.7291283134985,2674,90.49101985235559,2574,84.49955433934167,1926,61.97798396893854
Co60,20.0,2771,92.86493782814412,2985,96.83159092984243,2496,84.3681355844484,1747,59.659829536341675
