isotope,distance_cm,counts_free,counts_Al,counts_Cu,counts_Pb,Al_ratio,Cu_ratio,Pb_ratio
Co60,10.0,9481,9089,8030,5404,0.9586541504060753,0.8469570720388144,0.5699820694019618
Co60,10.0,9665,9523,7721,5516,0.985307811691671,0.7988618727366787,0.5707190894981894
Co60,10.0,9759,9301,7649,5485,0.9530689619838099,0.7837893226765037,0.5620452915257711
Co60,10.0,10146,9431,8393,5554,0.9295288783757145,0.8272225507589198,0.5474078454563375
Co60,10.0,9880,9713,7834,5372,0.9830971659919029,0.792914979757085,0.5437246963562753
Co60,10.0,9588,9007,7844,5773,0.9394034209428452,0.8181059657905716,0.6021068001668752
Co60,10.0,9229,9453,7582,5483,1.0242713186694117,0.8215407953191028,0.5941055368945715
Co60,10.0,9591,8997,8227,5496,0.9380669377541445,0.8577833385465541,0.5730372223959962
Co60,10.0,8891,9024,8108,5408,1.0149589472500282,0.9119334158137442,0.608255539309414
Co60,10.0,9360,9293,8237,5462,0.9928418803418804,0.8800213675213675,0.5835470085470086
Co60,10.0,9166,9189,8399,5096,1.002509273401702,0.9163211869954179,0.5559677067423086
Co60,10.0,9082,9695,8005,5502,1.0674961462232988,0.8814137855097997,0.605813697423475
Co60,10.0,9698,9191,8093,5317,0.9477211796246648,0.8345019591668386,0.5482573726541555
Co60,10.0,9891,9643,7662,5655,0.9749267010413507,0.7746436154079466,0.5717318774643615
Co60,10.0,10452,9451,7912,5576,0.904228855721393,0.7569843092231152,0.533486414083429
Co60,10.0,9204,9452,7502,5821,1.0269448066058235,0.8150803998261625,0.6324424163407214
Co60,10.0,9337,8883,7918,5675,0.9513762450465888,0.8480239905751312,0.6077969369176395
Co60,10.0,9028,9368,8010,5220,1.0376606114311033,0.8872396987151085,0.5782011519716438
Co60,10.0,9562,9340,8019,5723,0.9767830997699226,0.8386320853377954,0.5985149550303284
Co60,10.0,9472,9303,8204,5782,0.9821579391891891,0.8661317567567568,0.6104307432432432
Co60,10.0,9124,9613,8033,5647,1.0535949145111794,0.88042525208242,0.6189171416045594
Co60,10.0,9666,9129,7935,5341,0.9444444444444444,0.8209186840471757,0.5525553486447341
Co60,10.0,8980,9886,8193,5669,1.100890868596882,0.9123608017817372,0.6312917594654789
Co60,10.0,9721,8794,7977,5471,0.9046394403867914,0.82059458903405,0.562802180845592
Co60,10.0,9753,8826,8153,5588,0.90495232236235,0.8359479134625244,0.5729519122321337
Co60,10.0,9108,8920,8042,5365,0.9793588054457619,0.8829600351339482,0.5890425999121651
Co60,10.0,9355,9684,7901,5625,1.0351683591662213,0.8445750935328701,0.601282736504543
Co60,10.0,9765,9241,7860,5862,0.9463389656938044,0.804915514592934,0.6003072196620584
Co60,10.0,9728,9108,7962,5713,0.936266447368421,0.8184621710526315,0.5872738486842105
Co60,10.0,9807,9570,8073,5678,0.9758335882532885,0.8231875191189967,0.5789742021005404
Co60,10.0,9480,9846,8028,5465,1.0386075949367088,0.8468354430379746,0.5764767932489452
Co60,10.0,9614,9049,8345,5656,0.9412315373413772,0.8680049927189515,0.5883087164551696
Co60,10.0,9820,9721,8661,5452,0.989918533604888,0.8819755600814664,0.5551934826883911
Co60,10.0,9446,9228,8032,5624,0.9769214482320558,0.8503070082574635,0.5953842896464112
Co60,10.0,10078,9336,8135,5533,0.9263742806112324,0.8072038102798175,0.5490176622345704
Co60,10.0,9516,9348,8441,5513,0.9823455233291298,0.8870323665405633,0.5793400588482556
Co60,10.0,9681,8811,8059,5558,0.910133250697242,0.832455324863134,0.57411424439624
Co60,10.0,9615,9852,7909,5828,1.0246489859594383,0.8225689027561103,0.606136245449818
Co60,10.0,9590,9777,8159,5867,1.0194994786235663,0.8507820646506777,0.6117831074035454
Co60,10.0,9879,9527,7989,5460,0.9643688632452677,0.808685089583966,0.5526875189796538
Co60,10.0,9641,9734,8293,5903,1.0096463022508038,0.8601804792034021,0.6122808837257546
Co60,10.0,9612,9289,7917,5410,0.9663961714523512,0.8236579275905118,0.5628381190178943
Co60,10.0,9998,9035,8470,5497,0.9036807361472294,0.8471694338867773,0.5498099619923985
Co60,10.0,9775,9066,7985,5637,0.9274680306905371,0.8168797953964194,0.5766751918158568
Co60,10.0,10069,9219,7900,5965,0.9155824808819147,0.7845863541563214,0.5924123547522098
Co60,10.0,9775,9558,8198,5524,0.9778005115089514,0.8386700767263428,0.5651150895140665
Co60,10.0,9325,9640,8207,5403,1.033780160857909,0.8801072386058981,0.5794101876675604
Co60,10.0,9227,9645,7745,5541,1.045301831581229,0.8393844153029154,0.6005202124200715
Co60,10.0,9491,9210,7862,5551,0.9703930038984301,0.8283637129912549,0.5848698767253188
Co60,10.0,9757,9664,8228,5487,0.9904683816746951,0.8432919954904171,0.5623654811929897
Co60,10.0,9942,9420,8040,5375,0.9474954737477369,0.8086904043452021,0.5406356869845101
Co60,10.0,9609,9829,8127,5329,1.0228952024144031,0.8457695910084296,0.5545842439379748
Co60,10.0,9392,8959,8450,5467,0.953896933560477,0.899701873935264,0.5820911413969335
Co60,10.0,10069,9787,8054,5367,0.9719932465984705,0.7998808223259509,0.5330221471844274
Co60,10.0,9768,8509,7854,5633,0.8711097461097461,0.8040540540540541,0.5766789516789517
Co60,10.0,9574,9005,8306,5684,0.940568205556716,0.8675579695007312,0.5936912471276373
Co60,10.0,9727,9383,8061,5322,0.9646345224632467,0.8287241698365375,0.5471368356122134
Co60,10.0,9744,9094,8263,5571,0.9332922824302134,0.8480090311986864,0.5717364532019704
Co60,10.0,9805,9387,8044,5848,0.9573686894441611,0.8203977562468129,0.5964303926568078
Co60,10.0,9640,9582,8236,5675,0.9939834024896266,0.854356846473029,0.5886929460580913
Co60,10.0,9810,9180,7970,5739,0.9357798165137615,0.8124362895005097,0.5850152905198777
Co60,10.0,9620,9734,7798,5287,1.011850311850312,0.8106029106029106,0.5495841995841996
Co60,10.0,9346,9041,7885,5859,0.967365717954205,0.8436764391183394,0.6268992082174192
Co60,10.0,9247,8957,8424,5576,0.9686384773440034,0.9109981615659133,0.6030063804477128
Co60,10.0,9727,9393,7634,5579,0.9656625886707104,0.7848257427778349,0.573558137144032
Co60,10.0,9912,8924,8100,5425,0.9003228410008071,0.8171912832929782,0.547316384180791
Co60,10.0,9263,9701,8005,5552,1.0472848969016517,0.8641908668897765,0.5993738529634027
Co60,10.0,9348,9279,7950,5582,0.9926187419768935,0.8504492939666238,0.5971330765939238
Co60,10.0,9684,9499,7969,5362,0.9808963238331269,0.8229037587773648,0.553696819496076
Co60,10.0,9922,9279,7837,5420,0.9351945172344286,0.789860915138077,0.5462608345091715
Co60,10.0,9243,8858,8245,5299,0.9583468570810343,0.8920263983555122,0.5732987125392188
Co60,10.0,9948,9033,8099,5463,0.908021712907117,0.8141334941696824,0.5491556091676719
Co60,10.0,9646,9169,7835,5480,0.9505494505494505,0.8122537839518972,0.56811113414887
Co60,10.0,9523,9364,7748,5337,0.9833035808043684,0.8136091567783261,0.5604326367741258
Co60,10.0,9330,8955,8057,5603,0.9598070739549839,0.8635584137191854,0.6005359056806002
Co60,10.0,9253,9517,8113,5426,1.0285312871501135,0.8767967145790554,0.5864044093807413
Co60,10.0,9623,9472,7797,5436,0.9843084277252416,0.8102462849423256,0.5648966018913021
Co60,10.0,9386,9356,7836,5650,0.9968037502663541,0.8348604304282975,0.6019603665033028
Co60,10.0,9489,9378,8289,5209,0.9883022447043945,0.8735377805880493,0.5489514174307092
Co60,10.0,9194,9405,8011,5147,1.02294974983685,0.871329127691973,0.5598216227974766
Co60,10.0,9455,9500,7958,5437,1.0047593865679534,0.8416710735060814,0.575039661554733
Co60,10.0,9219,9073,7969,5620,0.98416314133854,0.8644104566655819,0.6096105868315436
Co60,10.0,10229,9239,7971,5414,0.90321634568384,0.7792550591455665,0.529279499462313
Co60,10.0,9322,9368,8381,5347,1.0049345633984124,0.8990559965672602,0.5735893585067582
Co60,10.0,9850,9384,8325,5343,0.9526903553299493,0.8451776649746193,0.5424365482233503
Co60,10.0,10000,9599,8103,5637,0.9599,0.8103,0.5637
Co60,10.0,9680,9105,8724,5261,0.940599173553719,0.9012396694214876,0.5434917355371901
Co60,10.0,9620,9697,8102,5649,1.008004158004158,0.8422037422037422,0.5872141372141372
Co60,10.0,9675,9425,8252,5427,0.9741602067183462,0.8529198966408269,0.5609302325581396
Co60,10.0,9709,9749,8274,5494,1.0041198887630034,0.852198990627253,0.5658667215985168
Co60,10.0,9636,9152,7765,5600,0.9497716894977168,0.8058322955583229,0.5811540058115401
Co60,10.0,9633,9482,8218,5571,0.9843247171182394,0.8531091041212499,0.5783245094985986
Co60,10.0,9272,8930,7983,5918,0.9631147540983607,0.8609792924935289,0.6382657463330458
Co60,10.0,10209,9610,7703,5588,0.9413262807326869,0.7545303163875012,0.5473601723969047
Co60,10.0,9607,9699,8076,5535,1.0095763505777038,0.8406370354949516,0.5761423961694597
Co60,10.0,9793,9623,8398,5714,0.9826406616971306,0.8575513121617482,0.5834779944858572
Co60,10.0,9580,8827,8174,5350,0.9213987473903966,0.8532359081419624,0.558455114822547
Co60,10.0,9575,9907,7914,5752,1.0346736292428198,0.8265274151436032,0.6007310704960835
Co60,10.0,9503,9459,8261,5262,0.9953698831947806,0.8693044301799432,0.5537198779332843
Co60,10.0,8904,9786,7655,5374,1.099056603773585,0.8597259658580413,0.6035489667565139
Co60,10.0,9756,9215,8010,5408,0.9445469454694547,0.8210332103321033,0.5543255432554326
Co60,10.0,9529,9555,7934,5084,1.0027285129604366,0.832616224157834,0.5335292265715186
Co60,10.0,9570,9998,7826,5462,1.044723092998955,0.8177638453500522,0.5707419017763845
Co60,10.0,9821,9217,8277,5402,0.9384991345076876,0.8427858670196517,0.5500458201812443
Co60,10.0,9394,9600,8576,5807,1.0219288907813497,0.9129231424313392,0.6181605279965936
Co60,10.0,9822,9255,7904,5496,0.9422724496029322,0.8047240887802891,0.5595601710445938
Co60,10.0,9987,9172,8087,5692,0.9183939120857114,0.8097526784820266,0.5699409232001602
Co60,10.0,9986,9868,8238,5525,0.9881834568395754,0.8249549369116763,0.5532745844181854
Co60,10.0,9944,9328,7902,5336,0.9380530973451328,0.7946500402252614,0.5366049879324215
Co60,10.0,9481,9160,8286,5487,0.9661428119396688,0.8739584432021938,0.5787364202088388
Co60,10.0,9334,9569,8141,5495,1.0251767730876367,0.8721877008785087,0.5887079494321834
Co60,10.0,9373,9307,8146,5724,0.9929584978128667,0.8690920729755681,0.6106902805931932
Co60,10.0,9553,9117,8014,5460,0.954359886946509,0.8388987752538469,0.5715482047524338
Co60,10.0,9815,9358,8067,5687,0.9534386143657667,0.82190524707081,0.5794192562404483
Co60,10.0,9482,9211,8415,5643,0.9714195317443577,0.8874709976798144,0.5951276102088167
Co60,10.0,9426,9694,8411,5600,1.0284319966051347,0.8923191173350308,0.5941014215998303
Co60,10.0,9506,9016,8455,5656,0.9484536082474226,0.8894382495266148,0.5949926362297496
Co60,10.0,9530,9357,8114,5716,0.9818467995802729,0.8514165792235048,0.5997901364113326
Co60,10.0,9315,9346,7651,5569,1.0033279656468062,0.8213633923778851,0.5978529253891572
Co60,10.0,9610,9166,7887,5516,0.9537981269510926,0.8207075962539022,0.5739854318418314
Co60,10.0,9889,9301,7804,5311,0.9405399939326524,0.7891596723632319,0.537061381332794
Co60,10.0,9398,9428,7998,5291,1.0031921685464993,0.8510321344967015,0.562992125984252
Co60,10.0,9396,9581,7849,5761,1.0196892294593445,0.8353554704129417,0.6131332481907195
Co60,10.0,9924,9585,7760,5555,0.9658403869407497,0.7819427650141072,0.5597541313986296
Co60,10.0,9598,9132,7970,5741,0.9514482183788289,0.8303813294436341,0.5981454469681183
Co60,10.0,10080,9457,8214,5309,0.9381944444444444,0.8148809523809524,0.526686507936508
Co60,10.0,9286,9390,8321,5709,1.0111996553952185,0.8960801206116735,0.6147964678009907
Co60,10.0,9822,9840,7965,5496,1.0018326206475259,0.8109346365302382,0.5595601710445938
Co60,10.0,9466,9339,8070,5438,0.9865835622226917,0.8525248256919501,0.574477075850412
Co60,10.0,10181,9426,7815,5603,0.9258422551812199,0.7676063255082998,0.5503388665160593
Co60,10.0,9044,9018,7646,5621,0.997125165855816,0.8454223794781071,0.621517027863777
Co60,10.0,8950,9319,7959,5626,1.0412290502793295,0.8892737430167598,0.6286033519553073
Co60,10.0,9765,9258,8401,5460,0.9480798771121351,0.8603174603174604,0.5591397849462365
Co60,10.0,9929,9285,7939,5742,0.9351394903817102,0.7995769966764025,0.5783059724040689
Co60,10.0,9690,9456,8133,5587,0.9758513931888545,0.8393188854489164,0.5765737874097008
Co60,10.0,9796,8639,7844,5655,0.8818905675786035,0.8007349938750511,0.5772764393630053
Co60,10.0,9797,9565,7995,5621,0.9763192814126773,0.8160661426967439,0.5737470654281923
Co60,10.0,9535,9470,7879,5366,0.9931830099632931,0.8263240692186681,0.5627687467226009
Co60,10.0,8921,9506,7637,5390,1.0655756081156822,0.8560699473153234,0.6041923551171393
Co60,10.0,9446,8795,7414,5413,0.9310819394452678,0.7848824899428329,0.5730467922930341
Co60,10.0,9922,9119,8096,5400,0.9190687361419069,0.8159645232815964,0.5442451118726064
Co60,10.0,9532,9172,8097,5488,0.9622324800671422,0.8494544691565253,0.575744859420898
Co60,10.0,9383,9391,8112,5525,1.0008526057764042,0.8645422572737931,0.5888308643291058
Co60,10.0,9670,9244,8494,5660,0.9559462254395036,0.8783867631851086,0.5853154084798345
Co60,10.0,9537,9921,7666,5156,1.0402642340358603,0.8038167138513159,0.540631225752333
Co60,10.0,9579,9653,8222,5534,1.0077252322789436,0.8583359432091032,0.5777221004280196
Co60,10.0,9772,9163,7995,5588,0.9376790830945558,0.8181539091281211,0.5718379042161277
Co60,10.0,9542,9052,8017,5382,0.9486480821630685,0.8401802557115908,0.5640326975476839
Co60,10.0,9646,9373,8048,5587,0.9716981132075472,0.8343354758449099,0.5792038150528717
Co60,10.0,9587,9167,8211,5642,0.9561906748722228,0.8564723062480443,0.588505267549807
Co60,10.0,9511,9562,8114,5432,1.0053622121753758,0.8531174429607823,0.5711281673851331
Co60,10.0,9873,9384,8017,5492,0.9504709814646004,0.8120125595057227,0.556264559910868
Co60,10.0,9703,9589,8010,5637,0.9882510563743172,0.8255178810677111,0.5809543440173143
Co60,10.0,9382,9910,8115,5479,1.056277979108932,0.8649541675548923,0.5839906203368151
Co60,10.0,9331,9544,7696,5455,1.0228271353552674,0.8247776229771728,0.5846104383238667
Co60,10.0,9792,9359,8275,5345,0.9557802287581699,0.845077614379085,0.5458537581699346
Co60,10.0,9691,9398,8330,5441,0.9697657620472604,0.8595604168816428,0.5614487668971211
Co60,10.0,10029,9267,7897,5846,0.9240203410110679,0.7874164921726992,0.5829095622694187
Co60,20.0,2771,2866,2351,1793,1.0342836521111511,0.8484301696138579,0.6470588235294118
Co60,20.0,2943,2826,2525,1897,0.9602446483180428,0.8579680598029222,0.6445803601766904
Co60,20.0,2884,2850,2373,1804,0.9882108183079057,0.8228155339805825,0.6255201109570042
Co60,20.0,2726,2777,2447,1879,1.0187087307410125,0.8976522377109317,0.6892883345561261
Co60,20.0,2746,2788,2366,1754,1.015294974508376,0.8616168973051711,0.6387472687545521
Co60,20.0,2883,2793,2423,1881,0.9687825182101977,0.8404439819632328,0.6524453694068678
Co60,20.0,2872,2888,2607,1852,1.0055710306406684,0.9077298050139275,0.6448467966573816
Co60,20.0,2964,2727,2555,1851,0.9200404858299596,0.8620107962213225,0.6244939271255061
Co60,20.0,2902,2787,2496,1819,0.9603721571330117,0.8600964851826327,0.6268090971743625
Co60,20.0,2831,2882,2507,1820,1.0180148357470857,0.885552808194984,0.6428823737195337
Co60,20.0,2917,2710,2454,1853,0.9290366815221117,0.84127528282482,0.6352416866643812
Co60,20.0,2784,2760,2516,1846,0.9913793103448276,0.9037356321839081,0.6630747126436781
Co60,20.0,2832,2769,2416,1790,0.9777542372881356,0.8531073446327684,0.6320621468926554
Co60,20.0,2843,2569,2501,1808,0.9036229335209286,0.8797045374604291,0.6359479423144565
Co60,20.0,2787,2797,2399,1833,1.0035880875493361,0.8607822030857553,0.6576964477933261
Co60,20.0,2710,2680,2438,1806,0.988929889298893,0.8996309963099631,0.666420664206642
Co60,20.0,2828,2795,2544,1765,0.9883309759547383,0.8995756718528995,0.6241159830268741
Co60,20.0,3036,2846,2519,1771,0.9374176548089591,0.8297101449275363,0.5833333333333334
Co60,20.0,2739,2809,2420,1863,1.0255567725447243,0.8835341365461847,0.6801752464403067
Co60,20.0,2856,2698,2426,1815,0.9446778711484594,0.8494397759103641,0.6355042016806722
Co60,20.0,2761,2641,2531,1928,0.9565374864179645,0.9166968489677653,0.698297718218037
Co60,20.0,2804,2878,2406,1842,1.0263908701854494,0.8580599144079886,0.6569186875891584
Co60,20.0,2875,2746,2422,1849,0.9551304347826087,0.8424347826086956,0.6431304347826087
Co60,20.0,2804,2815,2557,1840,1.003922967189729,0.9119115549215406,0.6562054208273894
Co60,20.0,2706,2745,2562,1782,1.0144124168514412,0.9467849223946785,0.6585365853658537
Co60,20.0,2779,2714,2466,1952,0.9766102914717524,0.8873695573947463,0.7024109391867578
Co60,20.0,2776,2652,2514,1871,0.9553314121037464,0.9056195965417867,0.6739913544668588
Co60,20.0,2927,2662,2389,1848,0.9094636146224804,0.8161940553467715,0.6313631704817219
Co60,20.0,2677,2735,2355,1786,1.0216660440791931,0.8797161001120657,0.6671647366454987
Co60,20.0,2774,2740,2603,1845,0.9877433309300648,0.9383561643835616,0.6651045421773613
Co60,20.0,2877,2867,2445,1802,0.9965241571080987,0.8498435870698644,0.6263468891206118
Co60,20.0,2840,2743,2633,1758,0.9658450704225352,0.9271126760563381,0.6190140845070422
Co60,20.0,2928,2967,2522,1859,1.0133196721311475,0.8613387978142076,0.6349043715846995
Co60,20.0,2779,2867,2666,1766,1.0316660669305506,0.9593378913278158,0.6354803886290032
Co60,20.0,2921,2767,2414,1771,0.9472783293392674,0.8264293050325231,0.6062992125984252
Co60,20.0,2944,2827,2504,1836,0.9602581521739131,0.8505434782608695,0.623641304347826
Co60,20.0,2928,2937,2508,1753,1.0030737704918034,0.8565573770491803,0.5987021857923497
Co60,20.0,2955,2835,2497,1862,0.9593908629441624,0.8450084602368866,0.6301184433164129
Co60,20.0,2764,2701,2418,1889,0.9772069464544139,0.8748191027496383,0.6834298118668596
Co60,20.0,2935,2888,2451,1808,0.9839863713798978,0.8350936967632028,0.6160136286201022
Co60,20.0,2843,2753,2348,1836,0.9683432993316918,0.8258881463243053,0.6457966936334858
Co60,20.0,2846,2761,2448,1761,0.9701335207308504,0.8601546029515109,0.6187631763879129
Co60,20.0,2858,2817,2509,1802,0.9856543037088873,0.877886634009797,0.6305108467459762
Co60,20.0,2935,2937,2644,1878,1.0006814310051106,0.9008517887563884,0.6398637137989779
Co60,20.0,2859,2848,2536,1764,0.9961525008744316,0.8870234347674012,0.6169989506820567
Co60,20.0,3010,2865,2607,1802,0.9518272425249169,0.8661129568106313,0.598671096345515
Co60,20.0,2877,2894,2464,1891,1.0059089329162323,0.8564476885644768,0.6572818908585332
Co60,20.0,2851,2765,2501,1805,0.9698351455629604,0.877236057523676,0.6331111890564715
Co60,20.0,2756,2832,2466,1812,1.0275761973875182,0.8947750362844702,0.6574746008708273
Co60,20.0,2991,2810,2356,1745,0.9394851220327649,0.7876964226011367,0.5834169174189234
Co60,20.0,2801,2632,2431,1826,0.9396644055694395,0.8679043198857551,0.6519100321313817
Co60,20.0,2778,2794,2441,1864,1.005759539236861,0.8786897048236141,0.6709863210943124
Co60,20.0,2817,2785,2417,1900,0.9886403975860845,0.8580049698260561,0.6744763933262335
Co60,20.0,2814,2626,2575,1855,0.9331911869225302,0.9150675195451314,0.6592039800995025
Co60,20.0,2953,2613,2462,1876,0.8848628513376228,0.8337284117846258,0.6352861496782932
Co60,20.0,2728,2660,2573,1854,0.9750733137829912,0.9431818181818182,0.6796187683284457
Co60,20.0,2883,2661,2486,1819,0.922996878251821,0.8622962192160943,0.6309399930627818
Co60,20.0,2911,2765,2463,1811,0.9498454139470972,0.8461009962212298,0.6221229817931982
Co60,20.0,2842,2772,2274,1883,0.9753694581280788,0.8001407459535539,0.6625615763546798
Co60,20.0,2744,2741,2432,1883,0.9989067055393586,0.8862973760932945,0.6862244897959183
Co60,20.0,2799,2833,2383,1982,1.012147195426938,0.8513754912468738,0.7081100392997499
Co60,20.0,2788,2845,2330,1900,1.0204447632711622,0.8357245337159254,0.6814921090387375
Co60,20.0,2859,2841,2362,1901,0.993704092339979,0.826162994053865,0.664917803427772
Co60,20.0,2778,2941,2529,1898,1.058675305975522,0.9103671706263499,0.6832253419726422
Co60,20.0,2884,2878,2621,1798,0.9979195561719834,0.9088072122052705,0.6234396671289875
Co60,20.0,2864,2674,2574,1926,0.9336592178770949,0.8987430167597765,0.672486033519553
Co60,20.0,2771,2985,2496,1747,1.0772284373872247,0.9007578491519307,0.6304583182966438
Co60,20.0,2859,2778,2374,1781,0.9716684155299056,0.8303602658272123,0.6229450856942987
Co60,20.0,2887,2821,2505,1865,0.9771388985105646,0.8676827156217527,0.6459993072393488
Co60,20.0,2853,2749,2557,1807,0.963547143357869,0.8962495618647038,0.6333683841570277
Co60,20.0,2862,2661,2402,1867,0.929769392033543,0.8392732354996506,0.6523410202655485
Co60,20.0,2979,2736,2390,1865,0.918429003021148,0.8022826451829473,0.6260490097348104
Co60,20.0,2801,2882,2455,1898,1.02891824348447,0.876472688325598,0.6776151374509104
Co60,20.0,2812,2733,2503,1837,0.9719061166429588,0.8901137980085349,0.653271692745377
Co60,20.0,2916,2778,2583,1803,0.9526748971193416,0.8858024691358025,0.6183127572016461
Co60,20.0,2817,2763,2344,1708,0.9808306709265175,0.8320908768193114,0.6063187788427405
Co60,20.0,2748,2945,2499,1889,1.071688500727802,0.9093886462882096,0.6874090247452693
Co60,20.0,2837,2845,2525,1907,1.0028198801550934,0.8900246739513571,0.6721889319703913
Co60,20.0,2848,2881,2496,1868,1.0115870786516854,0.8764044943820225,0.6558988764044944
Co60,20.0,2888,2844,2525,1859,0.9847645429362881,0.8743074792243767,0.6436980609418282
Co60,20.0,2868,2612,2406,1775,0.9107391910739191,0.8389121338912134,0.6188981868898187
Co60,20.0,2860,2854,2348,1867,0.9979020979020979,0.820979020979021,0.6527972027972028
Co60,20.0,2824,2776,2436,1817,0.9830028328611898,0.8626062322946175,0.6434135977337111
Co60,20.0,2786,2707,2351,1784,0.9716439339554918,0.843862167982771,0.6403445800430725
Co60,20.0,2629,2770,2582,1791,1.0536325599087106,0.9821224800304298,0.6812476226702168
Co60,20.0,2800,2705,2462,1833,0.9660714285714286,0.8792857142857143,0.6546428571428572
Co60,20.0,2777,2784,2441,1840,1.0025207057976233,0.87900612171408,0.6625855239467051
Co60,20.0,2979,2905,2357,1811,0.9751594494796911,0.7912051023833501,0.6079221215172876
Co60,20.0,2919,2864,2454,1860,0.9811579307982186,0.8406988694758479,0.6372045220966084
Co60,20.0,2883,2834,2498,1932,0.9830038154699965,0.8664585501214013,0.6701352757544224
Co60,20.0,2798,2793,2542,1824,0.9982130092923517,0.908506075768406,0.6518942101501072
Co60,20.0,2876,2749,2414,1875,0.9558414464534075,0.8393602225312935,0.6519471488178025
Co60,20.0,2872,2752,2456,1817,0.958217270194986,0.8551532033426184,0.6326601671309192
Co60,20.0,2897,2715,2458,1807,0.937176389368312,0.8484639282015879,0.6237487055574732
Co60,20.0,2944,2921,2482,1834,0.9921875,0.8430706521739131,0.6229619565217391
Co60,20.0,2786,2869,2379,1886,1.029791816223977,0.8539124192390524,0.6769562096195262
Co60,20.0,2857,2834,2341,1862,0.991949597479874,0.8193909695484775,0.6517325866293314
Co60,20.0,2958,2601,2588,1742,0.8793103448275862,0.8749154834347532,0.5889114266396214
